Genus,Substantiv,IPA,Plural,Herkunft,Tags
das,Tennis,ˈtɛnɪs,PLURAL,*,Sport
der,Tag,taːk,Tage,de,
der,Morgen,ˈmɔʁɡn̩,PLURAL,*,
der,Abend,ˈaːbn̩t,PLURAL,*,
die,Nacht,naxt,PLURAL,*,
das,Wiedersehen,ˈviːdɐˌzeːən,PLURAL,*,
der,Appetit,apeˈtiːt,PLURAL,*,
der,Buchstabe,ˈbuːxˌʃtaːbə,PLURAL,*,
das,A,aː,PLURAL,*,Buschstabe
das,B,beː,PLURAL,*,Buschstabe
das,C,t͡seː,PLURAL,*,Buschstabe
das,D,deː,PLURAL,*,Buschstabe
das,E,ʔeː,PLURAL,*,Buschstabe
das,F,ɛf,PLURAL,*,Buschstabe
das,G,ɡeː,PLURAL,*,Buschstabe
das,H,haː,PLURAL,*,Buschstabe
das,I,iː,PLURAL,*,Buschstabe
das,J,jɔt,PLURAL,*,Buschstabe
das,K,kaː,PLURAL,*,Buschstabe
das,L,ɛl,PLURAL,*,Buschstabe
das,M,ɛm,PLURAL,*,Buschstabe
das,N,ɛn,PLURAL,*,Buschstabe
das,O,oː,PLURAL,*,Buschstabe
das,P,peː,PLURAL,*,Buschstabe
das,Q,kuː,PLURAL,*,Buschstabe
das,R,ɛʁ,PLURAL,*,Buschstabe
das,S,ʔɛs,PLURAL,*,Buschstabe
das,T,teː,PLURAL,*,Buschstabe
das,U,uː,PLURAL,*,Buschstabe
das,V,faʊ̯,PLURAL,*,Buschstabe
das,W,veː,PLURAL,*,Buschstabe
das,X,ɪks,PLURAL,*,Buschstabe
das,Y,ˈʏpsilɔn,PLURAL,*,Buschstabe
das,Z,t͡sɛt,PLURAL,*,Buschstabe
das,Ä,ɛː,PLURAL,*,Buschstabe
das,Ö,øː,PLURAL,*,Buschstabe
das,Ü,yː,PLURAL,*,Buschstabe
das,ß,s,PLURAL,*,Buschstabe
das,Deutschland,ˈdɔɪ̯t͡ʃlant,PLURAL,Toponym,Land
das,Österreich,ˈøːstəʁaɪ̯ç,PLURAL,Toponym,Land
die,Schweiz,ʃvaɪ̯t͡s,PLURAL,Toponym,Land
das,Hamburg,ˈhambʊʁk,-,Toponym,Stadt:Land.Deutschland
das,Leipzig,ˈlaɪ̯pt͡sɪç,PLURAL,Toponym,Stadt:Land.Deutschland
das,Stuttgart,ˈʃtʊtɡaʁt,PLURAL,Toponym,Stadt:Land.Deutschland
das,Berlin,bɛʁˈliːn,PLURAL,Toponym,Stadt:Land.Deutschland
das,Köln,kœln,PLURAL,Toponym,Stadt:Land.Deutschland
das,Frankfurt,ˈfʁaŋkfʊʁt,PLURAL,Toponym,Stadt:Land.Deutschland
das,München,ˈmʏnçn̩,PLURAL,Toponym,Stadt:Land.Deutschland
das,Linz,lɪnt͡s,PLURAL,Toponym,Stadt:Land.Österreich
das,Wien,viːn,PLURAL,Toponym,Stadt:Land.Österreich
das,Innsbruck,ˈɪnsbʁʊk,PLURAL,Toponym,Stadt:Land.Österreich
das,Bern,bɛʁn,PLURAL,Toponym,Stadt:Land.Schweiz
das,Zürich,ˈt͡syːʁɪç,PLURAL,Toponym,Stadt:Land.Schweiz
das,Genf,ɡɛnf,PLURAL,Toponym,Stadt:Land.Schweiz
das,Basel,ˈbaːzl̩,-,Toponym,Stadt:Land.Schweiz
der/die,Müller,ˈmʏlɐ,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
der/die,Schmidt,ʃmɪt,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
der/die,Weber,ˈveːbɐ,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
der/die,Fischer,ˈfɪʃɐ,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
der/die,Gruber,ˈɡʁuːbɐ,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
der/die,Huber,ˈhuːbɐ,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
der/die,Wagner,ˈvaːɡnɐ,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
der/die,Pichler,ˈpɪçlɐ,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
der/die,Steiner,ʃtaɪ̯nɐ,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
der/die,Maier,ˈmaɪ̯ɐ,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
der/die,Keller,ˈkɛlɐ,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
der/die,Gerber,ˈɡɛʁbɐ,PLURAL,Familienname,Familienname.Deutschland:Familienname.Schweiz
der/die,Baumann,ˈbaʊ̯man,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
der/die,Graf,ɡʁaːf,PLURAL,Familienname,Familienname.Deutschland:Familienname.Österreich:Familienname.Schweiz
das,Spanien,ˈʃpaːni̯ən,PLURAL,Toponym,Land
das,Portugal,ˈpɔʁtuɡal,PLURAL,Toponym,Land
das,Lissabon,ˈlɪsabɔn,PLURAL,Toponym,Stadt:Land.Portugal
das,Portugiesisch,ˌpɔʁtuˈɡiːzɪʃ,PLURAL,*,Sprache
das,Spanisch,ˈʃpaːnɪʃ,PLURAL,*,Sprache
das,Russland,ˈʁʊslant,PLURAL,Toponym,Land
das,Russisch,ˈʁʊsɪʃ,PLURAL,*,Sprache
das,Schweden,ˈʃveːdn̩,PLURAL,Toponym,Land
das,Schwedisch,ˈʃveːdɪʃ,PLURAL,*,Sprache
das,Stockholm,ˈʃtɔkhɔlm,PLURAL,Toponym,Stadt:Land.Schweden
das,Dänemark,ˈdɛːnəˌmaʁk,PLURAL,Toponym,Land
das,Dänisch,ˈdɛːnɪʃ,PLURAL,*,Sprache
das,China,ˈçiːna,PLURAL,Toponym,Land
das,Chinesisch,çiˈneːzɪʃ,PLURAL,*,Sprache
das,Graz,ɡʁaːt͡s,PLURAL,Toponym,Stadt:Land.Österreich
das,Italien,iˈtaːli̯ən,PLURAL,Toponym,Land
das,Italienisch,ˌitaˈli̯eːnɪʃ,PLURAL,*,Sprache
die,Musik,muˈziːk,Musiken,Lehnwort.la,
das,Griechenland,ˈɡʁiːçn̩ˌlant,PLURAL,Toponym,Land
das,Athen,aˈteːn,PLURAL,Toponym,Stadt:Land.Griechenland
das,Griechisch,ˈɡʁiːçɪʃ,PLURAL,*,Sprache
das,Deutsch,dɔɪ̯t͡ʃ,PLURAL,*,Sprache
der,Fußball,ˈfuːsˌbal,Fußbälle,Komposita.kein,Sport:Gegenstand
das,Frankreich,ˈfʁaŋkʁaɪ̯ç,PLURAL,Toponym,Land
das,Französisch,fʁanˈt͡søːzɪʃ,PLURAL,*,Sprache
das,Ungarn,ˈʊŋɡaʁn,PLURAL,Toponym,Land
das,Budapest,ˈbuːdaˌpɛst,PLURAL,Toponym,Stadt:Land.Ungarn
das,Ungarisch,ˈʊŋɡaʁɪʃ,PLURAL,*,Sprache
das,Computerspiel,kɔmˈpjuːtɐˌʃpiːl,PLURAL,*,
die,Gitarre,ɡiˈtaʁə,PLURAL,*,Musik
die,Sprache,ˈʃpʁaːxə,PLURAL,*,
der,Jazz,d͡ʒɛːs,-,Lehnwort.en,Musik
das,Bulgarien,bʊlˈɡaːʁiən,PLURAL,Toponym,Land
das,Bulgarisch,bʊlˈɡaːʁɪʃ,PLURAL,*,Sprache
das,Großbritannien,ɡʁoːsbʁiˈtani̯ən,PLURAL,Toponym,Land
das,Englisch,ˈɛŋlɪʃ,PLURAL,*,Sprache
das,Japanisch,jaˈpaːnɪʃ,PLURAL,*,Sprache
das,Japan,ˈjaːpan,PLURAL,Toponym,Land
die,Niederlande,ˈniːdɐˌlandə,PLURAL,Toponym,Land
das,Niederländisch,ˈniːdɐˌlɛndɪʃ,PLURAL,*,Sprache
das,Marokko,ˌmaˈʁɔko,PLURAL,Toponym,Land
das,Arabisch,aˈʁaːbɪʃ,PLURAL,*,Sprache
die,Türkei,tʏʁˈkaɪ̯,PLURAL,Toponym,Land
das,Türkisch,ˈtʏʁkɪʃ,PLURAL,*,Sprache
das,Polen,ˈpoːlən,PLURAL,Toponym,Land
das,Polnisch,ˈpɔlnɪʃ,PLURAL,*,Sprache
die,Mutter,ˈmʊtɐ,Mütter,*,Familie
die,Muttersprache,ˈmʊtɐˌʃpʁaːxə,PLURAL,*,
das,Tschechien,ˈt͡ʃɛçi̯ən,PLURAL,Toponym,Land
das,Tschechisch,ˈt͡ʃɛçɪʃ,PLURAL,*,Sprache
das,Prag,pʁaːk,PLURAL,*,Stadt:Land.Tschechien
der,Volleyball,ˈvɔlɛɪ̯ˌbal,PLURAL,*,Sport
die,Gymnastik,ˌɡʏmˈnastɪk,-,Lehnwort.grc,Sport
das,Institut,ɪnstiˈtuːt,PLURAL,*,
das,Prozent,pʁoˈt͡sɛnt,PLURAL,*,
die,Begrüßung,bəˈɡʁyːsʊŋ,PLURAL,*,
die,Verabschiedung,fɛɐ̯ˈʔapˌʃiːdʊŋ,PLURAL,*,
der,Man,man,PLURAL,*,
die,Frau,fʁaʊ̯,Frauen,*,
das,Warschau,ˈvaʁʃaʊ̯,PLURAL,Toponym,Stadt:Land.Polen
das,Hotel,hoˈtɛl,PLURAL,*,
das,Klavier,klaˈviːɐ̯,PLURAL,*,
das,London,ˈlɔndɔn,PLURAL,Toponym,Stadt:Land.Großbritannien
das,Helsinki,ˈhɛlziŋˌki,PLURAL,Toponym,Stadt:Land.Finnland
das,Finnland,ˈfɪnlant,PLURAL,Toponym,Land
das,Finnisch,ˈfɪnɪʃ,PLURAL,*,Sprache
das,Oslo,ˈɔsloː,PLURAL,Toponym,Stadt:Land.Norwegen
das,Norwegen,ˈnɔʁˌveːɡn̩,PLURAL,Toponym,Land
das,Norwegisch,ˈnɔʁˌveːɡɪʃ,PLURAL,*,Sprache
das,Amerika,aˈmeːʁika,PLURAL,Toponym,Land
der,Beruf,bəˈʁuːf,PLURAL,*,
die,Familie,faˈmiːli̯ə,PLURAL,*,
die,Tätigkeit,ˈtɛːtɪçkaɪ̯t,Tätigkeiten,Ableitung.-keit,
der,Künstler,ˈkʏnstlɐ,Künstler,Ableitung.-ler,Beruf
die,Künstlerin,ˈkʏnstləʁɪn,Künstlerinnen,Ableitung.-in,Beruf
das,Bild,bɪlt,Bilder,*,
der,Kellner,ˈkɛlnɐ,Kellner,*,Beruf:Person.männlich
die,Kellnerin,ˈkɛlnəʁɪn,Kellnerinnen,Ableitung.-in,Beruf:Person.weiblich
der,Gast,ɡast,Gäste,de,
der,Azrt,aːɐ̯t͡st,PLURAL,*,Beruf
die,Äzrtin,ˈɛːɐ̯t͡stɪn,PLURAL,*,Beruf
der,Patient,paˈt͡si̯ɛnt,PLURAL,*,
die,Patientin,paˈt͡si̯ɛntɪn,PLURAL,*,
der,Informatiker,ɪnfɔʁˈmaːtɪkɐ,PLURAL,*,Beruf
die,Informatikerin,ɪnfɔʁˈmaːtɪkəʁɪn,PLURAL,*,Beruf
die,Lehrerin,ˈleːʁəʁɪn,PLURAL,*,Beruf
der,Lehrer,ˈleːʁɐ,PLURAL,*,Beruf
das,Kind,kɪnt,PLURAL,*,
der,Assistent,asɪsˈtɛnt,PLURAL,*,Beruf
die,Assistentin,asɪsˈtɛntɪn,PLURAL,*,Beruf
die/das,E-Mail,ˈiːmeɪ̯l,PLURAL,*,
der,Student,ʃtuˈdɛnt,PLURAL,*,Person.männlich
die,Studentin,ʃtuˈdɛntɪn,PLURAL,*,Person.weiblich
das,Buch,buːx,Bücher,*,
der,Architekt,aʁçiˈtɛkt,PLURAL,*,Beruf
die,Architektin,aʁçiˈtɛktɪn,PLURAL,*,Beruf
das,Projekt,pʁoˈjɛkt,Projekte,Lehnwort.la,
der,Ingenieur,ɪnʒeˈni̯øːɐ̯,PLURAL,*,Beruf
die,Ingenieurin,ɪnʒeˈni̯øːʁɪn,PLURAL,*,Beruf
das,Solarauto,zoˈlaːɐ̯ˌʔaʊ̯to,Solarautos,*,
die,Besprechung,bəˈʃpʁɛçʊŋ,Besprechungen,Ableitung.-ung,
-,-,ˈjuːʁaː,Jura,*,
die,Physik,fyˈziːk,PLURAL,*,Wissenschaft
die,Mathematik,matemaˈtiːk,PLURAL,*,Wissenschaft
die,Journalistik,ʒʊʁnaˈlɪstɪk,PLURAL,*,
das,Design,diˈzaɪ̯n,PLURAL,*,
der,Jurist,juˈʁɪst,PLURAL,*,Beruf
die,Juristin,juˈʁɪstɪn,PLURAL,*,Beruf
der,Musiker,ˈmuːzɪkɐ,PLURAL,*,Beruf
die,Musikerin,ˈmuːzɪkəʁɪn,PLURAL,*,Beruf
der,Physiker,ˈfyːzɪkɐ,PLURAL,*,Beruf
die,Physikerin,ˈfyːzɪkəʁɪn,PLURAL,*,Beruf
der,Mathematiker,matəˈmaːtɪkɐ,PLURAL,*,Beruf
die,Mathematikerin,matəˈmaːtɪkəʁɪn,PLURAL,*,Beruf
der,Journalist,ʒʊʁnaˈlɪst,PLURAL,*,Beruf
die,Journalistin,ʒʊʁnaˈlɪstɪn,PLURAL,*,Beruf
der,Designer,diˈzaɪ̯nɐ,PLURAL,*,Beruf
die,Designerin,diˈzaɪ̯nəʁɪn,PLURAL,*,Beruf
der,Manager,ˈmɛnɪd͡ʒɐ,Manager,*,Beruf
die,Managerin,ˈmɛnɪd͡ʒəʁɪn,managerinnen,*,Beruf
das,Düsseldorf,ˈdʏsl̩ˌdɔʁf,-,Toponym,Stadt:Land.Deutschland
das,Krakau,ˈkʁaːkaʊ̯,-,Toponym,Stadt:Land.Polen
der,Tisch,tɪʃ,Tische,*,Gegenstand
die,Brille,ˈbʁɪlə,Brillen,*,Gegenstand
das,Handy,ˈhɛndi,Handys,de.en,Gegenstand
die,Zeitung,ˈt͡saɪ̯tʊŋ,Zeitung,*,Gegenstand
der,Stuhl,ʃtuːl,Stühlen,de,Gegenstand
die,Uhr,uːɐ̯,Uhren,de,Gegenstand
die,Tasche,ˈtaʃə,Taschen,*,Gegenstand
das,Medikament,medikaˈmɛnt,Medikamente,*,Gegenstand
die,Lampe,ˈlampə,PLURAL,*,Gegenstand
der,Regenschirm,ˈʁeːɡn̩ˌʃɪʁm,Regenschirme,*,Gegenstand
die,Seite,ˈzaɪ̯tə,Seiten,*,Gegenstand
die,Tasse,ˈtasə,Tassen,Lehnwort.it.fr,Gegenstand:Werkzeug.Küche
die,Tür,tyːɐ̯,Türen,*,Gegenstand
der,Computer,kɔmˈpjuːtɐ,Computer,*,Gegenstand
das,Auto,ˈaʊ̯to,Autos,*,Gegenstand
das,Lehrbuch,ˈleːɐ̯ˌbuːx,Lehrbücher,Komposita.kein,Gegenstand
die,Zeitschrift,ˈt͡saɪ̯tˌʃʁɪft,Zeitschiften,Komposita.kein,Gegenstand
der,Schlüssel,ˈʃlʏsl̩,Schlüssel,*,Gegenstand
die,Flasche,ˈflaʃə,Flaschen,*,Gegenstand
der,Stift,ʃtɪft,Stifte,*,Gegenstand
die,Kaffeemaschine,ˈkafemaˌʃiːnə,Kaffeemaschinen,*,Gegenstand
die,Maschine,maˈʃiːnə,Maschinen,*,Gegenstand
der,Kaffee,ˈkafe,Kaffees,*,Getränk
der,Bildschirm,ˈbɪltˌʃɪʁm,Bildschirme,Komposita.kein,Gegenstand
der,Schreibtisch,ˈʃʁaɪ̯pˌtɪʃ,Schreibtische,Komposita.kein,Gegenstand
die,Präsentation,pʁɛzɛntaˈt͡si̯oːn,Präsentationen,Lehnwort.fr:Ableitung.-ation,
das,Büro,byˈʁoː,PLURAL,*,Fremdwörter.Französisch
der,Bleistift,ˈblaɪ̯ˌʃtɪft,PLURAL,Komposita.kein,Gegenstand
der,Lippenstift,ˈlɪpn̩ˌʃtɪft,PLURAL,Komposita.-n-,Gegenstand
die,Lippe,ˈlɪpə,PLURAL,*,Anatomie
das,Blei,blaɪ̯,PLURAL,*,Wissenschaft.Chemie
der,Autoschlüssel,ˈaʊ̯toˌʃlʏsl̩,Autoschlüssel,Komposita.kein,Gegenstand
das,Zimmer,ˈt͡sɪmɐ,Zimmer,de,Gegenstand
der,Zimmerschlüssel,ˈt͡sɪmɐˌʃlʏsl̩,PLURAL,Komposita.kein,Gegenstand
der,Sonnenschirm,ˈzɔnənˌʃɪʁm,Sonnenschirme,Komposita.-n-,Gegenstand
das,Cello,ˈt͡ʃɛlo,PLURAL,*,Musik
die,Tageszeitung,ˈtaːɡəsˌt͡saɪ̯tʊŋ,PLURAL,Komposita.-es-,Gegenstand
das,Wörterbuch,ˈvœʁtɐˌbuːx,Wörterbücher,de,Gegenstand
das,Wort,vɔʁt,Wörter,de,
die,Modezeitschrift,ˈmoːdəˌt͡saɪ̯tʃʁɪft,PLURAL,*,Gegenstand
die,Mode,ˈmoːdə,PLURAL,*,
die,Schrift,ʃʁɪft,PLURAL,*,
die,Einleitung,ˈaɪ̯nlaɪ̯tʊŋ,PLURAL,*,
der,Drucker,ˈdʁʊkɐ,PLURAL,*,Gegenstand
das,Telefon,ˈteːləfoːn,PLURAL,*,Gegenstand
der,Kalender,kaˈlɛndɐ,Kalender,*,Gegenstand
der/[das],Laptop,ˈlɛptɔp,Laptops,*,Gegenstand
die/das,Vokabel,voˈkaːbl̩,PLURAL,*,
der,Österreicher,ˈøːstəʁaɪ̯çɐ,PLURAL,*,Person.Staatsbürger
die,Österreicherin,ˈøːstəʁaɪ̯çəʁɪn,PLURAL,*,Person.Staatsbürger
die,Eins,aɪ̯ns,Einsen,*,Zahl.1
die,Zwei,t͡svaɪ̯,Zweien,*,Zahl.2
die,Drei,dʁaɪ̯,Dreien,*,Zahl.3
die,Vier,fiːɐ̯,Vieren,*,Zahl.4
die,Fünf,fʏnf,Fünfen,*,Zahl.5
die,Sechs,zɛks,Sechsen,*,Zahl.6
die,Sieben,ˈziːbn̩,Siebenen:Sieben,*,Zahl.7
die,Acht,axt,Achten,*,Zahl.8
die,Neun,nɔɪ̯n,Neunen:Neuner,*,Zahl.9
die,Zehn,t͡seːn,Zehnen,*,Zahl.10
die,Null,nʊl,Nullen,*,Zahl.0
die,Polizei,ˌpoliˈt͡saɪ̯,Polizeien,*,
die,Feuerwehr,ˈfɔɪ̯ɐˌveːɐ̯,Feuerwehren,*,
das,Feuer,ˈfɔɪ̯ɐ,Feuer,*,
die,Wehr,veːɐ̯,Wehren,*,
[der]/das,Kilometer,ˌkiloˈmeːtɐ,Kilometer,Ableitung.kilo-,Maßeinheit.Länge
das,Quadrat,kvaˈdʁaːt,Quadrate,*,Mathematik
der,Quadratkilometer,kvaˈdʁaːtkiloˌmeːtɐ,Quadratkilometer,*,Maßeinheit.Fläche
die,Fläche,ˈflɛçə,Flächen,*,
der,Einwohner,ˈaɪ̯nˌvoːnɐ,Einwohner,*,
das,Bundesland,ˈbʊndəsˌlant,Bundesländer,Komposita.-es-,
der,Bund,bʊnt,Bünde,*,
[das]/die,Land,lant,Länder/Lande,*,
der,Kanton,kanˈtoːn,Kantone,*,
die,Million,mɪˈli̯oːn,Millionen,*,Zahl.1000000
die,Milliarde,mɪˈli̯aʁdə,Milliarden,*,Zahl.1000000000
die,Stadt,ʃtat,Städte,*,
die,Millionenstadt,mɪˈli̯oːnənˌʃtat,Millionenstädte,*,
das,Haupt,haʊ̯pt,Häupter,*,
die,Hauptstadt,ˈhaʊ̯ptˌʃtat,Hauptstädte,Ableitung.haupt-,
der,Mensch,mɛnʃ,Menschen,*,
die,Vorwahl,ˈfoːɐ̯ˌvaːl,Vorwahlen,*,
das,Beispiel,ˈbaɪ̯ˌʃpiːl,Beispiele,de,
der,Satz,zat͡s,Sätze,*,
die,Grafik,ˈɡʁaːfɪk,Grafiken,*,
der,Beispielsatz,ˈɡʁaːfɪk,Beispielsätze,*,
das,Hindi,ˈhɪndiː,-,*,Sprache
das,Bengali,bɛŋˈɡaːli,-,*,Sprache
-,-,ˈɛltɐn,Eltern,*,Familie
das,Kind,kɪnt,Kinder,*,Familie
der,Mann,man,Männer:Mannen,*,Familie
der,Roman,ʁoˈmaːn,Romane,*,
die,Liebe,ˈliːbə,Lieben,*,
der,Liebesroman,ˈliːbəsʁoˌmaːn,Liebesromane,*,
die,Tochter,ˈtɔxtɐ,Töchter,*,Familie
die,Schwester,ˈʃvɛstɐ,Schwestern,*,Familie
das,Jahr,jaːɐ̯,Jahre,de,
die,Popmusik,ˈpɔpmuˌziːk,Popmusiken,*,
der,Vater,ˈfaːtɐ,Väter,*,Familie
der,Sohn,zoːn,Söhne,*,Familie
der,Bruder,ˈbʁuːdɐ,Brüder,*,Familie
das,Geschwister,ɡəˈʃvɪstɐ,Geschwister,*,Familie
der,Onkel,ˈɔŋkl̩,Onkel,*,Familie
der,Kommissar,kɔmɪˈsaːɐ̯,Kommissare,*,
die,Tante,ˈtantə,Tanten,*,Familie
der,Moment,moˈmɛnt,Momente,*,
der,Artikel,ˌaʁˈtiːkl̩,Artikel,*,
der,Verwandter,fɛɐ̯ˈvantɐ,Verwandte,*,Familie
die,Verwandte,fɛɐ̯ˈvantə,Verwandte,*,Familie
das,Ergebnis,ɛɐ̯ˈɡeːpnɪs,Ergebnisse,Ableitung.-nis,
die,Adresse,aˈdʁɛsə,Adressen,*,
der,Komponist,ˌkɔmpoˈnɪst,Komponisten,*,
die,Komponistin,ˌkɔmpoˈnɪstɪn,Komponistinnen,*,
der,Schirm,ʃɪʁm,Schirme,*,
der,Chef,ʃɛf,Chefs,*,Beruf
die,Chefin,ˈʃɛfɪn,Chefinnen,*,Beruf
der,Text,tɛkst,Texte,*,
das,Schauspiel,ˈʃaʊ̯ˌʃpiːl,Schauspiele,*,
der,Schauspieler,ˈʃaʊ̯ˌʃpiːlɐ,Schauspieler,*,Beruf
die,Schauspielerin,ˈʃaʊ̯ˌʃpiːləʁɪn,Schauspielerinnen,*,Beruf
das,Internet,ˈɪntɐnɛt,-,*,
die,Heimat,ˈhaɪ̯maːt,Heimaten,*,
das,Heimatland,ˈhaɪ̯maːtˌlant,Heimatländer,*,
die,Information,ɪnfɔʁmaˈt͡si̯oːn,Informationen,*,
die,Nummer,ˈnʊmɐ,Nummern,*,
die,Telefonnummer,teləˈfoːnˌnʊmɐ,Telefonnummern,*,
das,Zeichen,ˈt͡saɪ̯çn̩,Zeichen,de,
das,Kennzeichen,ˈkɛnˌt͡saɪ̯çn̩,Kennzeichen,*,
das,Autokennzeichen,ˈaʊ̯toˌkɛnt͡saɪ̯çn̩,Autokennzeichen,*,
die,Autonummer,ˈaʊ̯toˌnʊmɐ,Autonummern,*,
-,-,fɛɐ̯ˌʔaɪ̯nɪçtə ʔaˌʁaːbɪʃə ˌʔemiˈʁaːtə,Vereinigte Arabische Emirate,*,
das,Costa Rica,ˈkɔsta ˈʁiːka,-,*,Land
das,Bosnien und Herzegowina,ˈbɔsniən ʊnt ˌhɛʁt͡səˈɡɔvina,-,*,Land
die,Sängerin,ˈzɛŋəʁɪn,Sängerinnen,*,Beruf
der,Sänger,ˈzɛŋɐ,Sänger,*,Beruf
das,Lied,liːt,Lieder,*,
das,Chanson,ʃɑ̃ˈsɔ̃ː,Chansons,*,
der,Erfolg,ɛɐ̯ˈfɔlk,Erfolge,*,
das,Adjektiv,ˈatjɛktiːf,Adjektive,*,Linguistik
der,Kuchen,ˈkuːxn̩,Kuchen,*,Essen.Genussmittel
die,Schokolade,ʃokoˈlaːdə,Schokoladen,*,Essen:Getränk
der,Schokoladenkuchen,ʃokoˈlaːdn̩ˌkuːxn̩,Schokoladenkuchen,*,Essen.Genussmittel
die,Arbeit,ˈaʁbaɪ̯t,Arbeiten,*,
der,Liebling,ˈliːplɪŋ,Lieblinge,*,
das,Hotelzimmer,hoˈtɛlˌt͡sɪmɐ,Hotelzimmer,*,
das,Museum,muˈzeːʊm,Museen,*,
-,-,ˈlɔɪ̯tə,Leute,*,
der,Tee,teː,Tees,*,Getränk
der,Orangensaft,oˈʁɑ̃ːʒn̩ˌzaft,Orangensäfte,Komposita.-n-,Getränk.Saft.Fruchtsaft
die,Orange,oˈʁɑ̃ːʒə,Orangen,*,Nahrungsmittel.Obst
der,Saft,zaft,Säfte,*,Getränk
das,Mineralwasser,mineˈʁaːlˌvasɐ,Mineralwässer,Komposita.kein,Getränk
das,Wasser,ˈvasɐ,Wasser/Wässer,*,Getränk
das,Mineral,mɪneˈʁaːl,Minerale,*,
die,Milch,mɪlç,Milche/Milchen,*,Getränk
der,Zucker,ˈt͡sʊkɐ,Zucker,*,Essen.Gewürz
das,Stück,ʃtʏk,Stücke,*,
der,Dialog,diaˈloːk,Dialoge,*,
die,Rolle,ˈʁɔlə,Rollen,*,
der,Preis,pʁaɪ̯s,Preise,*,
das,Getränk,ɡəˈtʁɛŋk,Getränke,*,
das,Bier,biːɐ̯,Biere,*,Getränk.Alkoholgetränk
die,Suppe,ˈzʊpə,Suppen,*,Essen.Speise
die,Speise,ˈʃpaɪ̯zə,Speisen,de.la,
die/das,Cola,ˈkoːla,Colas,*,Getränk.Erfrischungsgetränk
die,Limonade,limoˈnaːdə,Limonaden,*,Getränk.Erfrischungsgetränk
das,Brötchen,ˈbʁøːtçən,Brötchen,Ableitung.Diminutivum:Ableitung.-chen,Essen.Gebäck
das,Brot,bʁoːt,Brote,*,Essen.Gebäck
der,Käse,ˈkɛːzə,Käse,*,Essen.Milchprodukt
der,Käsekuchen,ˈkɛːzəˌkuːxn̩,Käsekuchen,Komposita.kein,Essen.Kuchen:Essen.Käsegericht
die,Currywurst,ˈkœʁiˌvʊʁst,Currywürste,Komposita.kein,Essen
die,Wurst,vʊʁst,Würste,*,Essen.Fleischprodukt
